,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
320,justinbieber,Mon Jun 18 22:40:15 +0000 2018,:) https://t.co/g8tJx9T4ft,0.4588,0.75,0.0,0.25,80
321,justinbieber,Tue Jun 05 17:46:14 +0000 2018,#cupidmovie https://t.co/11sV1zrpYa,0.0,0.0,0.0,1.0,79
322,justinbieber,Tue Jun 05 17:45:45 +0000 2018,RT @DEADLINE: Justin Bieber Cast As Voice Talent In Animated Film About Cupid From Mythos Studios https://t.co/DMbcNYyBGx https://t.co/Q9M5…,0.4215,0.141,0.0,0.859,78
323,justinbieber,Tue May 22 13:15:49 +0000 2018,We will never let go of hope. #OneLoveManchester https://t.co/mWxXHTIwB3,0.4404,0.266,0.0,0.734,77
324,justinbieber,Tue May 22 13:14:46 +0000 2018,RT @scooterbraun: Never forgotten. Forever honored. https://t.co/b5bIqxyss6,-0.3412,0.171,0.315,0.513,76
325,justinbieber,Sat May 19 00:17:13 +0000 2018,Praying for Santa Fe,0.3612,0.455,0.0,0.545,75
326,justinbieber,Tue May 15 00:55:21 +0000 2018,RT @PopCrave: .@justinbieber has surpassed 18 BILLION views across all official channels on YouTube. He is the most viewed artist in HISTOR…,0.0,0.0,0.0,1.0,74
327,justinbieber,Mon May 14 21:39:13 +0000 2018,New game... don’t fall https://t.co/RxZKdQZCTT https://t.co/5kEROkd7Dt,0.0,0.0,0.0,1.0,73
328,justinbieber,Wed May 02 04:50:30 +0000 2018,Proud of my brother @PostMalone on his new album,0.4767,0.279,0.0,0.721,72
329,justinbieber,Tue May 01 03:28:24 +0000 2018,Supporting my buddy Adam https://t.co/apWVp0GXDd,0.4404,0.42,0.0,0.58,71
330,justinbieber,Tue Apr 10 18:49:07 +0000 2018,RT @poobear: Thanks for this @HannahStocking! HBD! https://t.co/7DGUO5xNkg,0.5399,0.332,0.0,0.668,70
331,justinbieber,Fri Apr 06 06:17:25 +0000 2018,"#Hard2FaceReality @poobear @jayelectronica 
https://t.co/IXMbZOFNiR https://t.co/BynBGhqE4n",0.0,0.0,0.0,1.0,69
332,justinbieber,Fri Apr 06 06:04:23 +0000 2018,Congrats https://t.co/odYNPq5yIc,0.5267,0.773,0.0,0.227,68
333,justinbieber,Thu Apr 05 16:44:21 +0000 2018,"RT @StevieWonder: On April 4th, 1968 at 7:05 p.m. central time, Dr. King’s life was cut tragically short. 50 years later a need for his dre…",-0.7003,0.0,0.201,0.799,67
334,justinbieber,Tue Mar 20 16:20:15 +0000 2018,Grateful for great friends,0.8807,0.911,0.0,0.089,66
335,justinbieber,Tue Mar 20 16:19:29 +0000 2018,Proud of these kids https://t.co/M796VNgWWV,0.4767,0.437,0.0,0.563,65
336,justinbieber,Tue Mar 20 16:17:42 +0000 2018,This is great https://t.co/53KZ5720Tw,0.6249,0.577,0.0,0.423,64
